name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra
omnifood-web,nannu-coder,Omnifood Project,https://github.com/nannu-coder/omnifood-web,2023-01-01,1,2,2,0,0,0,0,4517,,"CSS,HTML,JavaScript",HTML,github-pages,,"css3,food-website,html5,javascript,omnifood,responsive,website,website-design",
Time-Traking-Dasboard-main,Arvindsha," It's a fully Responsive App. In this App we can also add and delete our list. Skills used -HTML, CSS, JavaScript ,React JS",https://github.com/Arvindsha/Time-Traking-Dasboard-main,2023-01-01,1,1,0,0,0,0,0,33500,,"CSS,HTML",CSS,github-pages,,,
-import-type-declarations-can-only-be-used-in-TypeScript-files.,hoodiboiy,"Go into your VS code , then click on preference, then click on settings then search for javascript validate and turn off the enable option. ",https://github.com/hoodiboiy/-import-type-declarations-can-only-be-used-in-TypeScript-files.,2023-01-01,1,1,0,0,0,0,0,0,,,,,,,
Automatic-ECommerce,ByLife,"Project for school using PHP & Javascript mainly. Consist of building a e-shop, personally I did a VPS/RDP/Game Server reseller called Cursa.",https://github.com/ByLife/Automatic-ECommerce,2023-01-01,1,1,1,1,0,0,0,24150,MIT,"PHP,CSS,HTML,JavaScript,Hack",CSS,,,,
finance_agency,AlonaZhd,"creation of a landing page with responsive design, CSS animation and jQuery slider",https://github.com/AlonaZhd/finance_agency,2023-01-01,1,1,0,0,0,0,0,583,,"CSS,HTML,JavaScript",CSS,github-pages,,"css3,html5,javascript,jquery,responsive-design",
Basic-Auth-Conception,Lynch23,"Authentication and Authorization from scratch with NodeJs, MongoDB and Expressjs.",https://github.com/Lynch23/Basic-Auth-Conception,2023-01-01,1,1,3,0,0,0,0,80,,"JavaScript,CSS,EJS",EJS,,,"authentication,authentication-backend,authorization,expressjs,nodejs,security,database-management,javascript,cryptography,bcrypt",
Pinterest-Clone,SanketJ29,"It is a clone of Pinterest. It is built using ReactJs. It uses ""Unsplash API"" to generate images for this app.",https://github.com/SanketJ29/Pinterest-Clone,2023-01-01,1,1,0,0,0,0,0,363,,"HTML,JavaScript,SCSS",JavaScript,,,"css,html,javascript,reactjs,unsplash-api",
Artwork-Exhibition-Web-Application,Nguyen-HanhNong,"This application allows for client to create account to view artwork stored on a MongoDB database. It also allows clients to add artwork to the database, follow artists and sign-up for workshops hosted by artists.",https://github.com/Nguyen-HanhNong/Artwork-Exhibition-Web-Application,2023-01-01,1,1,1,0,0,0,0,6547,,"JavaScript,CSS,Pug",JavaScript,,,"css3,express-js,express-session,html,javascript",
Contact-List-Website,fidi1901,"Website created using HTML, CSS, JavaScript, Express NodeJS and mySQL to display a list displaying contacts of my teachers and staff in the University of Minnesota.",https://github.com/fidi1901/Contact-List-Website,2023-01-01,1,2,0,0,0,0,0,22,,"HTML,JavaScript",HTML,,,,
Asabeneh-Animating_Characters,PrimeFord,"Animating Character Project: This is one series from 30days of Javascript by Asabeneh Yetayeh, it changes the font color , background and font type of the text",https://github.com/PrimeFord/Asabeneh-Animating_Characters,2023-01-01,1,1,0,0,0,0,0,78,,"HTML,JavaScript,CSS",JavaScript,,,"animation-css,css,html-css-javascript,html5",
