name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra
javascript,ololu,,https://github.com/ololu/javascript,2023-01-01,1,1,0,0,0,0,0,1,MIT,,,,,,
javaScript,Nigohmahram,,https://github.com/Nigohmahram/javaScript,2023-01-01,1,1,0,0,0,0,0,1463,,"HTML,CSS,JavaScript",JavaScript,,,,
javascript,ssussuk7,,https://github.com/ssussuk7/javascript,2023-01-01,1,1,0,0,0,0,0,69563,,"HTML,TypeScript,JavaScript",JavaScript,,,,
javascript,Arthur-Macedo,Estudando JavaScript,https://github.com/Arthur-Macedo/javascript,2023-01-01,1,1,0,0,0,0,0,0,MIT,,,,,,
Javascript,SaliSalievB,"All my Javascript in class files, homeworks and finale project, i got graded with 6",https://github.com/SaliSalievB/Javascript,2023-01-01,1,1,0,0,0,0,0,15455,,,,,,,
DSA-Javascript,FaisalKhan2000,,https://github.com/FaisalKhan2000/DSA-Javascript,2023-01-01,1,1,2,0,0,0,0,221,,JavaScript,JavaScript,,,,
Learn_Javascript,jjaehwi,,https://github.com/jjaehwi/Learn_Javascript,2023-01-01,1,1,2,0,0,0,0,80,,"JavaScript,HTML",HTML,,,,
reactivity-template-js,Nightscratch,Javascript reactive template framework,https://github.com/Nightscratch/reactivity-template-js,2023-01-01,1,1,4,0,0,0,0,60,MIT,"HTML,JavaScript",JavaScript,,,,
Guess-The-Number-Game,Ash-codes18,Guess the number game made using javascript,https://github.com/Ash-codes18/Guess-The-Number-Game,2023-01-01,1,1,7,0,0,0,1,12134,,"HTML,JavaScript,CSS",JavaScript,github-pages,,"javascript,javascript-game",
Tip_Calculator_Javascript,Amitavpanda,,https://github.com/Amitavpanda/Tip_Calculator_Javascript,2023-01-01,1,1,2,0,0,0,0,2,,"HTML,CSS,JavaScript",HTML,github-pages,,,
this-fucking-javascript,chinmay29hub,Trying to learn JavaScript 🤬,https://github.com/chinmay29hub/this-fucking-javascript,2023-01-01,1,1,2,0,0,0,0,5256,MIT,"HTML,JavaScript,CSS",JavaScript,github-pages,,"fuck-off-as-a-service,fuckmylife,javascript,javascript-es6,javascript-projects,learn-javascript,programming,programming-language",
Weather-App-javascript,Nouman-hayat,,https://github.com/Nouman-hayat/Weather-App-javascript,2023-01-01,1,1,2,0,0,0,0,1431,,"CSS,HTML,JavaScript",CSS,,,,
writing-javascript-actions,santoshyadavdev,,https://github.com/santoshyadavdev/writing-javascript-actions,2023-01-01,1,1,2,0,0,1,3,34,CC-BY-4.0,,,,,,
canvas-hover-animation-js,crimson-projects,Canvas Hover Animation with JavaScript | Crimson,https://github.com/crimson-projects/canvas-hover-animation-js,2023-01-01,2,0,5,0,0,0,0,2233,,"HTML,JavaScript",JavaScript,,,,
recognize-text-from-image,ulugbekivich,Recognize text from image in javascript | Optical Character Recognition | OCR,https://github.com/ulugbekivich/recognize-text-from-image,2023-01-01,1,1,2,2,0,0,0,245,MIT,"HTML,JavaScript,CSS",HTML,,,"css,html5,javascript,ocr,ocr-recognition,recognizer,recognizes-images,text-from-image,text-to-image,texttoimage",
calc-iphone-js,mateuscecchin,Clone da calculadora do iphone feita em javascript,https://github.com/mateuscecchin/calc-iphone-js,2023-01-01,1,1,6,0,0,1,2,5,,"HTML,JavaScript,CSS",JavaScript,github-pages,,"calculator,calculator-js,css,html,html-css,iphone,javascript,js",
JavascriptProjects,Rajshah1103,,https://github.com/Rajshah1103/JavascriptProjects,2023-01-01,1,1,0,0,0,0,0,2002,,"HTML,JavaScript,CSS",JavaScript,,,,
javascriptproject1,vikasairsharma7071,,https://github.com/vikasairsharma7071/javascriptproject1,2023-01-01,1,1,0,0,0,0,0,3,,"HTML,JavaScript,CSS",JavaScript,github-pages,,,
javascript30,dogankocadayilar,"A free 30 day vanilla js coding challenge. Learn to build 30 things in 30 days with 30 tutorials. No Frameworks, No Compilers, No Libraries, No Boilerplate.",https://github.com/dogankocadayilar/javascript30,2023-01-01,1,1,0,0,0,0,0,89012,MIT,"HTML,JavaScript,CSS",HTML,github-pages,,"challange,css,html,javascript,javascript30",
javascript-flexbox-grid-list-toggle,ratracegrad,,https://github.com/ratracegrad/javascript-flexbox-grid-list-toggle,2023-01-01,1,3,2,0,0,0,0,2,,"JavaScript,HTML,CSS",HTML,,,,
DaysOfCode,Rafael-doctom,This repository is a collection of #100DaysOfCode exercises and challenges.,https://github.com/Rafael-doctom/DaysOfCode,2023-01-01,1,1,5,0,0,0,0,18,MIT,JavaScript,JavaScript,,,javascript,
Frontend,nishantsharma13903,"HTML, CSS, JavaScript, and Bootstrap.",https://github.com/nishantsharma13903/Frontend,2023-01-01,1,1,3,0,0,0,0,1888,,"HTML,CSS,JavaScript",HTML,,,,
Javascript-,adityabasanti,All in one basics of js,https://github.com/adityabasanti/Javascript-,2023-01-01,1,1,0,0,0,0,0,119,,"HTML,JavaScript,CSS",JavaScript,,,,
js101_learning_javascript1,amani6264,,https://github.com/amani6264/js101_learning_javascript1,2023-01-01,1,1,0,0,0,0,0,718,,"JavaScript,Nix",JavaScript,,,,
JS101_Learning_Javascript1,MdTaukifAlam,,https://github.com/MdTaukifAlam/JS101_Learning_Javascript1,2023-01-01,1,1,0,0,0,0,0,714,,"JavaScript,Nix",Nix,,,,
-JS101_Learning_Javascript1,BalajiDeshmukh,,https://github.com/BalajiDeshmukh/-JS101_Learning_Javascript1,2023-01-01,1,1,0,0,0,0,0,0,,,,,,,
PokeDex,gherrada22,A web application that allows you to search for pokemon and view their corresponding information through a request to the pokemon API.,https://github.com/gherrada22/PokeDex,2023-01-01,1,2,4,2,0,0,0,50,,"HTML,JavaScript,CSS",JavaScript,"github-pages,Production",,"api,css3,html5,javascript",
dsa,osinnowo,"Data Structure & Algorithm topics implementation in Java, Swift, C# and Javascript",https://github.com/osinnowo/dsa,2023-01-01,1,1,6,0,0,0,389,1694,MIT,"Java,Swift,C#,JavaScript,Python",Java,,,"dsa,java,swift,csharp,javascript,algorithms-and-data-structures",
javascripting,abrarulislam1,,https://github.com/abrarulislam1/javascripting,2023-01-01,1,1,0,0,0,0,0,1,,JavaScript,JavaScript,,,,
javascriptprojects,gegejosper,A compilation of javascript projects from simple to complex projects,https://github.com/gegejosper/javascriptprojects,2023-01-01,1,1,0,0,0,0,0,47922,,"HTML,CSS,JavaScript",HTML,github-pages,,,
javascripting,get-guta,,https://github.com/get-guta/javascripting,2023-01-01,1,1,0,0,0,0,0,3,,JavaScript,JavaScript,,,,
javascriptplayground,bronaghward,,https://github.com/bronaghward/javascriptplayground,2023-01-01,1,1,0,0,0,0,0,1,,JavaScript,JavaScript,,,,
