name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra,isApp,commits,popularity
amazon-chime-sdk,aws-samples,"This repository contains samples intended to demonstrate different use cases for the Amazon Chime SDK (JavaScript, iOS, Android, React, Messaging and Telephony)",https://github.com/aws-samples/amazon-chime-sdk,2021-04-13,18,15,97,126,0,54,346,20049,MIT-0,"HTML,CSS,JavaScript,Swift,TypeScript,Kotlin,Ruby,Shell,Dockerfile,Python",JavaScript,,amazon-chime-sdk-component-library-react,,,True,186.0,119939
smartlook.github.io,smartlook,Smartlook API Docs.,https://github.com/smartlook/smartlook.github.io,2018-01-21,27,8,8,7,0,4,329,74188,,JavaScript,JavaScript,github-pages,,"docs,api,javascript,developers,markdown,jekyll,liquid,smartlook",,True,611.0,108256
ot-ui-apps,opentargets,Open Targets Platform web applications,https://github.com/opentargets/ot-ui-apps,2022-04-11,10,6,4,9,0,2,325,13809,Apache-2.0,"Dockerfile,JavaScript,HTML,SCSS,CSS,TypeScript,Shell",JavaScript,,,"embl-ebi,european-bioinformatics-institute,graphql,javascript,reactjs,turborepo,vitejs,webapp",,True,526.0,105638
atlas,agrc,UGRC's template for esri JavaScript mapping applications.,https://github.com/agrc/atlas,2012-12-19,8,8,38,16,0,114,318,5817,MIT,"HTML,JavaScript,CSS",JavaScript,"dev,prod",,"boilerplate-application,javascript,boilerplate,esri-javascript-api,reactjs,esri-api,utah,government,government-app,gis",,True,731.0,101178
GTAS-UI,US-CBP,New GTAS user interface written in React,https://github.com/US-CBP/GTAS-UI,2020-06-05,8,7,4,8,0,551,315,41517,NOASSERTION,"HTML,CSS,JavaScript,SCSS,Shell",JavaScript,,,"react,javascript,bootstrap",,True,1593.0,99237
eslint-config,bamdadsabbagh,Bamdad Sabbagh's ESLint config,https://github.com/bamdadsabbagh/eslint-config,2020-05-21,1,1,2,0,0,1,299,1360,MIT,JavaScript,JavaScript,,,"eslint,npm,javascript,github-actions",,True,826.0,89403
Web-Development,keshavgbpecdelhi,"Here you will find different web development mini projects which are made up of HTML, CSS & little bit of JavaScript. Do you have any such small project which is not already in the List!? 😄",https://github.com/keshavgbpecdelhi/Web-Development,2020-05-20,1,14,769,302,0,86,282,229929,Apache-2.0,"HTML,CSS,JavaScript,SCSS,EJS,Pug,Python",JavaScript,github-pages,,"javascript,css,html,html5,beginner-project,beginner-friendly,webdevelopment,project-template,web-development,web-development-project",,True,702.0,80595
eslint-config-upleveled,upleveled,"UpLeveled ESLint defaults for programming in JavaScript, TypeScript, React, Next.js, Node.js, Postgres.js",https://github.com/upleveled/eslint-config-upleveled,2020-05-26,3,3,33,10,0,45,282,3890,,"JavaScript,CSS",JavaScript,,,"eslint,eslint-config,javascript,next-js,node-js,react,typescript,postgresql",,True,1151.0,79567
docs,keploy,Documentation website for Keploy,https://github.com/keploy/docs,2022-03-15,13,2,30,97,0,0,276,158348,Apache-2.0,"JavaScript,CSS,Dockerfile",JavaScript,github-pages,,"hacktoberfest,docs,documentation,docusaurus,hacktoberfest-2023,help,javascript,keploy,tailwindcss,keploy-documentation",,True,343.0,76303
resolith,flaksp,"A simple way to know your screen resolution, aspect ratio, viewport and scrollbar width.",https://github.com/flaksp/resolith,2018-01-07,2,0,2,0,0,6,250,1422,MIT,"CSS,HTML,JavaScript,Dockerfile",JavaScript,github-pages,,"js,javascript,resolution,pwa,poi",,True,271.0,62502
flex-code,ihshadin,"FlexCode is an online platform designed to host and manage problem-solving and coding challenges for coding enthusiasts, developers, and programmers. The platform aims to provide a flexible and interactive environment where participants can showcase their coding skills and solve challenges. FlexCode will be built using a modern tech stack, combinin",https://github.com/ihshadin/flex-code,2023-08-07,6,1,6,1,0,0,248,110264,,"HTML,JavaScript,CSS",JavaScript,,,"express,javascript,mongoose,nodejs,react",,True,657.0,61511
chemotion_saurus,ComPlat,,https://github.com/ComPlat/chemotion_saurus,2021-03-25,23,9,2,32,0,59,244,400446,,"JavaScript,CSS,VBScript,MDX",JavaScript,build_deploy,,"javascript,documentation-website,documentation,markdown",,True,2264.0,59570
builderbook,async-labs,"Open source web application to learn JS stack: React, Material-UI, Next.js, Node.js, Express.js, Mongoose, MongoDB database.",https://github.com/async-labs/builderbook,2017-12-03,3,96,3663,888,0,301,221,6430,MIT,"JavaScript,CSS",JavaScript,"builderbook-8-end,builderbook-9-end",,"aws-ses,express-session,github-api,material-ui,mongoose,passport,react,mongodb,javascript,nodejs",,True,563.0,53392
