name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra,isApp,commits,popularity
ISF-website,ISF-DDU,,https://github.com/ISF-DDU/ISF-website,2023-09-24,4,0,5,5,0,8,9,11051,MIT,"HTML,CSS,JavaScript",JavaScript,"Preview,Production",,"hacktoberfest,css,javascript,react,reactjs,tailwind,redux,html5,good-first-issue,hacktoberfest2023",,True,36.0,91
Blacket-Hacks--Dadlet-or-Blax-,Blooket-Ace,Blacket Hacks,https://github.com/Blooket-Ace/Blacket-Hacks--Dadlet-or-Blax-,2022-04-04,1,2,3,4,0,1,9,42592,,JavaScript,JavaScript,,,"javascript,code,about-blooket-ace",,True,211.0,88
Jcrew_clone,vin9012d,It's clone of jcrew.com website. All the functionality implemented required for the e-commerce website.,https://github.com/vin9012d/Jcrew_clone,2022-06-13,5,1,7,0,0,0,9,37403,,"HTML,JavaScript,CSS",JavaScript,,,"css,html,javascript",,True,79.0,88
letters-for-my-princess,paclaraujo,An app to encode and decode messages. Inspired by Beauty and the Beast story.,https://github.com/paclaraujo/letters-for-my-princess,2020-04-25,1,2,7,0,0,0,9,1290,,"HTML,CSS,JavaScript",JavaScript,,,"es6,eslint,htmlhint,css3,flexbox,responsive-design,javascript,html5",,True,42.0,88
ToDo-List,deyemiobaa,"A web app that helps you keep track of your most important tasks. You can add, delete, edits tasks as you wish, and they always stay on your browser",https://github.com/deyemiobaa/ToDo-List,2022-03-22,1,1,6,0,0,3,9,503,MIT,"HTML,JavaScript,CSS",JavaScript,github-pages,,"javascript,html,css,webpack,jest-tests",,True,66.0,87
BatePapoUOL,GabrielaTiago,"Implementação de um bate-papo totalmente funcional, inspirado no icônico Bate-Papo UOL. Com esta aplicação, os usuários podem desfrutar de um chat em tempo real, fazendo login e trocando mensagens com outros usuários.",https://github.com/GabrielaTiago/BatePapoUOL,2022-04-12,1,1,5,0,0,0,9,1555,,"HTML,CSS,JavaScript",JavaScript,github-pages,,"axios,chat-application,css,html,javascript",,True,46.0,86
logo-app,pepitacodes,Logo generator,https://github.com/pepitacodes/logo-app,2023-08-24,2,1,3,1,0,0,9,1865,,"JavaScript,HTML,CSS",JavaScript,,,"javascript,nodejs",,True,61.0,85
curso-de-javascript-de-cero-a-jr,holasoymalva,Curso de Javascript de Cero a Junior,https://github.com/holasoymalva/curso-de-javascript-de-cero-a-jr,2022-04-19,1,1,4,0,0,0,9,19,,JavaScript,JavaScript,,,,,True,28.0,85
Capstone-KanbanBoard,ndayishimiyeeric,"This is a Javascript Capstone Project at Microverse where I used Github Project(Kanban Board) to track my daily work, Webpack to bundle javascript, Jest to perform unit testing, API  to fetch data from PokeApi and the Involvement API. During the implementation of different features in this project like the liking and commenting functionality I learned a lot and it improved my javascript Skills..",https://github.com/ndayishimiyeeric/Capstone-KanbanBoard,2022-05-16,1,1,4,0,0,21,9,818,,"JavaScript,HTML,CSS",JavaScript,github-pages,,"gitflow,jest,kanban-board,webpack",,True,41.0,85
crappy-todo-app,octoi,todo app but bad,https://github.com/octoi/crappy-todo-app,2021-05-18,1,0,2,1,0,0,9,2621,MIT,"HTML,CSS,JavaScript",JavaScript,github-pages,,"todo,react,javascript",,True,81.0,84
chat-app-backend,MatheusIshiyama,This a backend to a websocket chat with jwt authenticate and mongo database,https://github.com/MatheusIshiyama/chat-app-backend,2021-04-02,1,2,2,1,0,1,9,225,MIT,JavaScript,JavaScript,,,"socket-io,jwt,jwtauthentication,jwt-authentication,mongodb,mongoose,nodejs,javascript",,True,22.0,84
Muzak,alissatroiano,Muzak is a front-end React application that uses the YouTube Data API to fetch & stream videos by video ID or title,https://github.com/alissatroiano/Muzak,2022-04-13,1,1,2,0,0,0,9,4786,,"HTML,CSS,JavaScript",JavaScript,,,"html,javascript,react,reactjs,youtube-api",,True,48.0,83
ZapRecall,GabrielaTiago,"App de flashcards com 3 decks de 8 cartões cada, usa técnicas de memorização Active Recall e Spaced Repetition para melhorar a memória. Ideal para testar conhecimentos e definir metas.",https://github.com/GabrielaTiago/ZapRecall,2022-05-12,1,1,2,0,0,0,9,16663,,"CSS,HTML,JavaScript",JavaScript,"Preview,Production",,"flashcards,javascript,react",,True,55.0,83
devo1ution.github.io,danielzsh,This is my personal website!,https://github.com/danielzsh/devo1ution.github.io,2020-05-30,1,1,2,0,0,0,9,32510,MIT,"JavaScript,CSS",JavaScript,"github-pages,Production,Production – satanic-santa",,"github-pages,javascript,nextjs,react",,True,46.0,83
